draw_size,best_of,rel_match_elo_pre,rel_serve_elo_pre,rel_return_elo_pre,rel_rank_points,rel_age,rel_ht,rel_ace_rate_52w,rel_df_rate_52w,rel_1stIn_pct_52w,rel_1stWon_pct_52w,rel_2ndWon_pct_52w,rel_bp_saved_pct_52w,rel_bp_converted_pct_52w,rel_career_matches,rel_surface_matches,rel_h2h_win_diff,h2h_matches,rel_return_elo_x_clay,rel_serve_elo_x_grass,surface=CLAY,surface=GRASS,surface=HARD,tourney_level=A,tourney_level=C,tourney_level=D,tourney_level=F,tourney_level=G,tourney_level=M,tourney_level=O,round=0,round=1,round=2,round=3,round=4,round=5,round=6,round=7,target
32.0,3,21.61199012183829,-11.095194226239528,5.751849978990776,-101.0,5.0,3.0,-0.0194127474675436,-0.0073775264031415,0.0366966797416694,-0.0029575765533575,0.0327905562723376,0.001329534662868,0.002229769905764,-15.0,-19.0,0,0,0.0,-0.0,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,0
32.0,3,44.48513664593975,-14.12085282566568,18.63220871679732,-297.0,2.5,-5.0,-0.0094251874674935,-0.0137936573772326,0.0834829781490917,-0.0507791339430411,-0.0231718292957324,-0.014155005927472,0.0297323255522612,-24.0,-19.0,0,0,0.0,-0.0,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,0
32.0,3,-144.04728274276613,1.1119188171276164,-13.931996683118996,-582.0,5.699999999999999,10.0,0.0608916794528555,-0.0183031739394521,0.0099801798647253,0.0604480192657033,-0.0010345129506317,0.0266663535894304,-0.0948498763687743,-19.0,-22.0,-1,1,-0.0,0.0,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,1
32.0,3,-62.7390968493371,-30.936951752208643,22.23238311469845,-810.0,-9.2,-5.0,-0.054062114356232,-0.0017585355820649,0.0040723981900451,-0.0939418586050661,-0.0158504191488393,-0.0494667491719142,-0.0041081081081081,-37.0,-24.0,0,0,0.0,-0.0,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,1
32.0,3,76.9069314498322,8.283163836165159,0.6095565836014885,456.0,7.300000000000001,5.0,-0.0243897163168731,0.0015413350960089,-0.016893817405114,0.0207039270001629,0.0213661267489105,0.0135149034208956,0.0135566510425084,13.0,-2.0,0,0,0.0,0.0,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,0
32.0,3,-26.35091379773303,4.486602160736538,-23.419951547948585,1067.0,1.400000000000002,2.0,0.0187131453221367,0.0003437874695285,0.0082756519664908,0.0071227925668464,-0.0130679150966137,0.0031055900621117,0.0078110863140116,43.0,23.0,0,0,-0.0,0.0,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,1
32.0,3,31.74272536042963,-3.851665344438288,18.249812343515718,444.0,-3.8000000000000007,-10.0,-0.0528156628411759,-0.0045671244995122,0.0397031147552227,-0.085594488434441,-0.0142872967656378,-0.0293483146067415,0.0382693906721366,11.0,5.0,0,0,0.0,-0.0,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,0
32.0,3,-30.32347870576928,-0.2033611219603699,-2.9272040547893994,-270.0,-11.200000000000005,-3.0,0.003709288214637,0.0081271761297657,-0.0788535538820707,-0.0024588324408909,0.0022151415737639,0.0328789636504253,-0.0021101726554088,2.0,13.0,0,0,-0.0,-0.0,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,0
32.0,3,-42.49486698835085,10.919175069147286,-19.230491247051987,-8.0,-10.1,-0.0,0.0237914400373406,-0.0212774318452826,-0.0307577675441335,0.0164807809097936,0.0156209650535489,-0.0116375262710727,0.0065862166085317,3.0,10.0,0,0,-0.0,0.0,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,0
32.0,3,62.19775651023156,-20.183999179766037,24.387364098200123,-851.0,-13.0,-5.0,-0.1210182924294263,-0.0002849592195248,-0.0152768775202186,-0.0652025754062722,-0.031763684072663,-0.0513130310934725,0.0338313480045763,4.0,7.0,0,0,0.0,-0.0,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,1
32.0,3,29.47483855516748,7.917044684055554,-1.8298775733758248,11.0,4.199999999999999,3.0,-0.0305692165775777,-0.010912826401587,-0.0099868649042306,-0.0091378762168934,-0.0081556301635136,0.008251272730561,0.0241012615293296,32.0,18.0,-1,3,-0.0,0.0,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,1
32.0,3,-1.5765952261931488,10.688495585912278,-13.093936551100114,-32.0,1.0,-3.0,0.0160147402761051,0.0163907174679167,-0.0176688757378963,0.0171815488785442,-0.0117072529062597,0.0072345072345072,0.0026287501221538,19.0,14.0,0,0,-0.0,0.0,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,0
