iter	Passed	Remaining
409	4540	17607
410	4550	17594
411	4560	17577
412	4574	17579
413	4586	17570
414	4598	17564
415	4608	17546
416	4618	17532
417	4629	17521
418	4638	17503
419	4650	17492
420	4659	17475
421	4670	17463
422	4682	17455
423	4693	17445
424	4702	17426
425	4713	17415
426	4726	17413
427	4740	17410
428	4749	17393
429	4760	17383
430	4769	17361
431	4782	17357
432	4791	17341
433	4800	17321
434	4810	17308
435	4821	17295
436	4830	17276
437	4841	17264
438	4850	17247
439	4861	17235
440	4873	17229
441	4884	17215
442	4903	17232
443	4911	17213
444	4922	17199
445	4932	17185
446	4941	17167
447	4952	17156
448	4961	17138
449	4972	17127
450	4983	17116
451	4993	17101
452	5003	17086
453	5014	17074
454	5023	17056
455	5033	17041
456	5041	17022
457	5052	17011
458	5063	16998
459	5072	16981
460	5083	16971
461	5096	16965
462	5105	16948
463	5118	16943
464	5129	16932
465	5137	16912
466	5150	16907
467	5163	16902
468	5177	16900
469	5189	16892
470	5201	16884
471	5213	16876
472	5225	16870
473	5236	16858
474	5248	16849
475	5259	16839
476	5271	16830
477	5281	16817
478	5297	16820
479	5311	16821
480	5323	16812
481	5335	16802
482	5345	16790
483	5358	16785
484	5369	16772
485	5378	16756
486	5391	16749
487	5403	16741
488	5412	16723
489	5422	16710
490	5433	16700
491	5445	16689
492	5458	16684
493	5470	16676
494	5481	16665
495	5490	16649
496	5503	16643
497	5515	16635
498	5525	16619
499	5535	16605
500	5548	16600
501	5557	16583
502	5569	16576
503	5579	16561
504	5594	16561
505	5603	16545
506	5615	16535
507	5626	16526
508	5637	16513
509	5650	16508
510	5663	16502
511	5677	16499
512	5686	16484
513	5697	16471
514	5708	16459
515	5716	16439
516	5727	16429
517	5738	16417
518	5748	16402
519	5756	16384
520	5764	16363
