iter	Logloss
421	0.5796713027
422	0.5796037401
423	0.5794897987
424	0.5794025683
425	0.5792981136
426	0.5791684638
427	0.5790323472
428	0.5789341323
429	0.5788183938
430	0.5787414474
431	0.5785988528
432	0.5784820814
433	0.5783826367
434	0.5782724141
435	0.5782218298
436	0.5781092777
437	0.5779708587
438	0.5778876285
439	0.5777518442
440	0.5776712824
441	0.5775660985
442	0.5774519023
443	0.5773406314
444	0.5772226332
445	0.5771168702
446	0.5769904379
447	0.576896037
448	0.5768191914
449	0.576722078
450	0.5766159744
451	0.5764882892
452	0.576396643
453	0.5762933676
454	0.5762121803
455	0.5760851566
456	0.5759937261
457	0.5759216152
458	0.5758466628
459	0.575725394
460	0.5755905959
461	0.5754804927
462	0.5753752041
463	0.575243113
464	0.5751354791
465	0.5750545206
466	0.5749132074
467	0.5747839838
468	0.5746804147
469	0.5745896054
470	0.5744419337
471	0.5743629081
472	0.5742444877
473	0.574164407
474	0.5740835182
475	0.5739936448
476	0.5738560755
477	0.5737125957
478	0.5735489951
479	0.5734556475
480	0.5733056181
481	0.5731558498
482	0.5729986367
483	0.5728788112
484	0.5727727662
485	0.5726833884
486	0.5725775442
487	0.572442398
488	0.5723358603
489	0.5722208194
490	0.5721248679
491	0.5720156737
492	0.5719188308
493	0.5718401064
494	0.5717094364
495	0.5715655899
496	0.5715047286
497	0.5713818292
498	0.5713054474
499	0.5712076335
500	0.5711200644
501	0.5709560179
502	0.5708522458
503	0.5707539149
504	0.5706884274
505	0.5705781536
506	0.5704577853
507	0.5702946377
508	0.5701951911
509	0.5700594604
510	0.569905091
511	0.569793749
512	0.5697067892
513	0.5696345061
514	0.569540194
515	0.5694406347
516	0.5693613095
517	0.5692697234
518	0.5691508583
519	0.5690689473
520	0.5689502087
