iter	Logloss
0	0.6896124853
1	0.6862685225
2	0.6830229937
3	0.6802594566
4	0.6776484703
5	0.6748629119
6	0.672324605
7	0.6699065638
8	0.6675831923
9	0.6655990118
10	0.6635928
11	0.6613885364
12	0.6592501287
13	0.6576266406
14	0.6559743563
15	0.6543233442
16	0.6526836854
17	0.6512936772
18	0.6497912142
19	0.6484800442
20	0.6473178098
21	0.6460800173
22	0.6447758003
23	0.6437027275
24	0.6426209054
25	0.6415166253
26	0.6405759165
27	0.6397191362
28	0.6390210543
29	0.638215162
30	0.6373320258
31	0.6366170631
32	0.6358989
33	0.6351028297
34	0.6344695317
35	0.6336924067
36	0.6330529541
37	0.6323731693
38	0.6317490742
39	0.6310984478
40	0.630551085
41	0.63004567
42	0.6295036533
43	0.6290458322
44	0.6284678482
45	0.6280400909
46	0.6276134756
47	0.627268297
48	0.6267994032
49	0.6264071169
50	0.6260529794
51	0.6256036456
52	0.6252652886
53	0.6249273089
54	0.6245071901
55	0.6242171762
56	0.6238638238
57	0.6235189357
58	0.6232137783
59	0.6229658026
60	0.6227089365
61	0.6224436291
62	0.6221316531
63	0.6218657177
64	0.6215863899
65	0.6213746397
66	0.6210657217
67	0.6208129704
68	0.6204225317
69	0.6202050291
70	0.6199746564
71	0.6197441126
72	0.6195661203
73	0.6193558454
74	0.6191516726
75	0.6189576114
76	0.6187127822
77	0.6184896513
78	0.6182748151
79	0.6180787971
80	0.6178574406
81	0.6176535798
82	0.6173338174
83	0.6171010599
84	0.6169100825
85	0.61673664
86	0.6166121586
87	0.6164620897
88	0.6162362067
89	0.6160598901
90	0.6157950756
91	0.6155775644
92	0.6153228738
93	0.6151517892
94	0.6149612116
95	0.6147349937
96	0.6145996849
97	0.6144567872
98	0.6142099193
99	0.6140322329
100	0.613946653
101	0.6137483625
102	0.6135766964
103	0.613430673
104	0.6132605219
105	0.6131339705
106	0.6129752724
107	0.6127637919
108	0.612634372
109	0.6124824483
110	0.6123449796
111	0.6121532983
112	0.6119859731
113	0.611845398
114	0.6116809786
115	0.6114766268
116	0.611297805
117	0.6111676357
118	0.6109826288
119	0.6108442998
120	0.6106813213
121	0.6105875387
122	0.6104937324
123	0.6103871431
124	0.6102797248
125	0.6101663689
126	0.6100601127
127	0.6099529081
128	0.6097232602
129	0.6095817642
130	0.6094430486
131	0.6093088898
132	0.6091325023
133	0.608959922
134	0.6088141282
135	0.6086868847
136	0.6085877771
137	0.6085060689
138	0.6083765375
139	0.6083174783
140	0.6082048695
141	0.6081010407
142	0.6079863594
143	0.6078831997
144	0.6077609168
145	0.6076348292
146	0.6074937988
147	0.6073318045
148	0.607218285
149	0.6071341973
150	0.6069657713
151	0.6069079036
152	0.6067752375
153	0.606624356
154	0.6065231238
155	0.6063955339
156	0.6062648702
157	0.6061894016
158	0.6060977772
159	0.6060116964
160	0.6059142887
161	0.605823613
162	0.6057162367
163	0.6056104767
164	0.6055199313
165	0.6054592979
166	0.6053147814
167	0.6051897441
168	0.6051036909
169	0.6050246567
170	0.6049456103
171	0.6048792604
172	0.6046995256
173	0.6045886734
174	0.6044562313
175	0.604376876
176	0.6042865362
177	0.6041669705
178	0.6040775995
179	0.6039964697
180	0.6038741914
181	0.6037510883
182	0.6036421705
183	0.6035694466
184	0.6034662295
185	0.6033713064
186	0.6032407692
187	0.6031420622
188	0.6030156239
189	0.6029347244
190	0.6028760899
191	0.6027798161
192	0.6027065471
193	0.6026001642
194	0.6024787271
195	0.6023398369
196	0.6022284364
197	0.6021536541
198	0.6020517913
199	0.601990494
200	0.6019011466
201	0.6018227641
202	0.6017462239
203	0.6016195598
204	0.6015199765
205	0.6013720161
206	0.6012618882
207	0.6011449996
208	0.6010259233
209	0.6008999891
210	0.6008126044
211	0.6007623546
212	0.6006399682
213	0.6005273557
214	0.6004559125
215	0.6003594978
216	0.6002685892
217	0.6002071455
218	0.6001255333
219	0.6000143099
220	0.5999546792
221	0.5998826114
222	0.5997685813
223	0.5996656664
224	0.5995762315
225	0.5994777017
226	0.599375514
227	0.5992788862
228	0.5991495582
229	0.5989697688
230	0.5989288045
231	0.5988480772
232	0.5987364598
233	0.5986241068
234	0.598524754
235	0.5984468445
236	0.5983727073
237	0.5982652047
238	0.5981819498
239	0.5981008544
240	0.5979666139
241	0.5979114496
242	0.5978319691
243	0.5977163341
244	0.5976409836
245	0.5975411904
246	0.5974387287
247	0.5973335127
248	0.597268479
249	0.5971640254
250	0.5970544519
251	0.5969860084
252	0.5968920044
253	0.596803027
254	0.5967146317
255	0.5965990256
256	0.5965403415
257	0.5963819718
258	0.5962885309
259	0.5961704585
260	0.5960923474
261	0.5960240381
262	0.5958850753
263	0.5958144629
264	0.5957289112
265	0.5956743544
266	0.5956023578
267	0.5954792058
268	0.5953916946
269	0.5953098388
270	0.5951999783
271	0.5950769275
272	0.5950059913
273	0.5948868802
274	0.5948093456
275	0.5946958481
276	0.5945991962
277	0.5944778837
278	0.5943457868
279	0.5942599697
280	0.5941699469
281	0.5940852535
282	0.5939758729
283	0.5938672944
284	0.5937540904
285	0.5936847346
286	0.5936043233
287	0.5935177516
288	0.5934154079
289	0.5932729794
290	0.5931625358
291	0.5930927126
292	0.5930064532
293	0.5928593557
294	0.5927984145
295	0.5926978556
296	0.5926120432
297	0.5924959818
298	0.592442148
299	0.5923626579
300	0.5922960071
301	0.5922030655
302	0.5921307705
303	0.5920242371
304	0.5919059075
305	0.5917782348
306	0.5916850236
307	0.5915781409
308	0.5914946669
309	0.5913897941
310	0.5913208413
311	0.5912112889
312	0.5911211977
313	0.5909621636
314	0.5908714519
315	0.5907959378
316	0.5907266519
317	0.5906531837
318	0.5905684828
319	0.5905143023
320	0.5904387668
321	0.5902786981
322	0.5901414572
323	0.5900037014
324	0.589914268
325	0.5898093593
326	0.5897321838
327	0.5896125317
328	0.5895159335
329	0.5894147462
330	0.5893327415
331	0.5892914926
332	0.5891967463
333	0.5891361613
334	0.589032438
335	0.5888822359
336	0.5888235031
337	0.5887681712
338	0.5886372526
339	0.5885697218
340	0.58846281
341	0.5883409416
342	0.5882351431
343	0.58813073
344	0.5880226634
345	0.587950568
346	0.5878637582
347	0.5877387876
348	0.5876241909
349	0.587530788
350	0.5874321003
351	0.587352227
352	0.5872430324
353	0.5871342813
354	0.5870411327
355	0.5869581008
356	0.5868653683
357	0.5867658723
358	0.5866414739
359	0.5865518323
360	0.5864496016
361	0.5863476713
362	0.5862475961
363	0.5861359306
364	0.5859803302
365	0.5858559517
366	0.5857400697
367	0.5856157028
368	0.5854697907
369	0.5853556911
370	0.5852608968
371	0.5851952558
372	0.5851463245
373	0.5850701407
374	0.5849807624
375	0.5848757864
376	0.5847638304
377	0.5846276931
378	0.5845305077
379	0.5844847528
380	0.5843876625
381	0.5842892815
382	0.5841663795
383	0.5840198786
384	0.5838972207
385	0.583850801
386	0.583731635
387	0.583596848
388	0.5834850759
389	0.5833745371
390	0.5832606698
391	0.5831119884
392	0.5830300438
393	0.5829144231
394	0.5827882785
395	0.5826372426
396	0.582535394
397	0.5824451241
398	0.5823515963
399	0.5822578554
400	0.5821396296
401	0.5820326879
402	0.5819610112
403	0.5818514478
404	0.5817547931
405	0.5816007542
406	0.5814980844
407	0.5814014245
408	0.5812928234
409	0.5811626088
410	0.5810116602
411	0.5808777086
412	0.5807587398
413	0.5806620976
414	0.5805391572
415	0.5803878533
416	0.5802763837
417	0.5801162271
418	0.5800107658
419	0.5799200321
420	0.5797797695
